user_id,KC5,KC4,KC2,KC1,KC7,KC8,KC3,KC6
1685,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs)
2900,Only when notified by course convener,Revisit based on activity (if it is mentioned in lectures or labs),Others,Never,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Revisit based on activity (if it is mentioned in lectures or labs)
1725,Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly)
1520,Others,Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Never,Never,Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2206,Revisit by myself (monthly),Revisit based on activity (if I see it in quiz),Revisit by myself (monthly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz)
2359,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1589,Revisit based on activity (if it is related to my assessment),Never,Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Never,Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly)
2281,Only when notified by course convener,Revisit based on activity (if I see it in quiz),Only when notified by course convener,Others,Only when notified by course convener,Revisit by myself (monthly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz)
2644,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2353,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment)
2053,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
899,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1683,Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz)
2458,Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (monthly),Revisit by myself (weekly)
2300,Never,Never,Never,Never,Never,Never,Never,Never
1284,Revisit by myself (monthly),Revisit by myself (weekly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly),Revisit based on activity (if it is mentioned in lectures or labs)
2381,,,,,,,,
1638,Revisit based on activity (if I see it in quiz),Revisit by myself (weekly),Revisit by myself (monthly),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit based on activity (if I see it in quiz)
